,api,class,cloudEnv,component,correlationId,developmentDevice,durationInMs,host,httpStatus,logEnv,method,principal,requestId,requestURI,requestURL,signature,signatureFull,signatureId,threadName,userAgent,timestamp
0,device,,production,core-cloud,CCB:9ae22714-7c8c-4490-8f07-d5fd7793b6cf,,119,logsearch-lifeline-agent-stateful-0.logsearch-lifeline-agent-stateful.default.svc.cluster.local,401,production,POST,,a3818cc09b0af2d7c72134ca5fa93eda,/device-api/registration,https://connect.g2bcc.com/device-api/registration,,,,http-nio-8080-exec-29,"sharedlogic/3.22.5-0 (bsp 10.8.0-0, model 1.2.1-0, bacnet 2.1.0)",2025-01-16 08:45:23.365
1,device,DeviceApiV2DeviceController,production,core-cloud,CCB:fc660e65-b629-4ca1-9adc-ac91cd3fb090,,24,logsearch-lifeline-agent-stateful-0.logsearch-lifeline-agent-stateful.default.svc.cluster.local,200,production,GET,4d284824-f2dc-4e47-9641-9c4bd115fbab,db0062793fb9ee45787e4588891f15dc,/device-api/v2/devices/8acbcbb2-0649-429b-b09b-120d88eb8fa1/tasks,https://connect.g2bcc.com/device-api/v2/devices/8acbcbb2-0649-429b-b09b-120d88eb8fa1/tasks,"DeviceApiV2DeviceController.getTaskList(String,Integer)","ch.belimo.cloud.server.deviceapi.v2.DeviceApiV2DeviceController#getTaskList(String, Integer)",111elm3x3ote5,http-nio-8080-exec-93,,2025-01-16 08:45:23.450
2,device,DeviceApiV2DeviceController,production,core-cloud,CCB:6cb197c0-6be1-4e49-82f4-90539ab6ded2,,23,logsearch-lifeline-agent-stateful-0.logsearch-lifeline-agent-stateful.default.svc.cluster.local,200,production,GET,d68a34f0-379c-4534-84e9-0278b8539c11,93df335640a41a3e4b1ecc00a4e58304,/device-api/v2/devices/fec4211e-1d9a-41c8-820d-dfd4ec718151/tasks,https://connect.g2bcc.com/device-api/v2/devices/fec4211e-1d9a-41c8-820d-dfd4ec718151/tasks,"DeviceApiV2DeviceController.getTaskList(String,Integer)","ch.belimo.cloud.server.deviceapi.v2.DeviceApiV2DeviceController#getTaskList(String, Integer)",111elm3x3ote5,http-nio-8080-exec-146,,2025-01-16 08:45:23.452
3,device,DeviceApiV2DeviceController,production,core-cloud,CCB:c1c628b7-a93b-4118-be48-bc6996e741d6,,23,logsearch-lifeline-agent-stateful-0.logsearch-lifeline-agent-stateful.default.svc.cluster.local,200,production,GET,8535e172-1dd3-4ef4-b9c9-fe7cc0b8fe1e,d520e3562dca57fdf3b6c3a9dd405dca,/device-api/v2/devices/cd0fe66e-a33c-4349-9b4a-76a2f700ba7d/tasks,https://connect.g2bcc.com/device-api/v2/devices/cd0fe66e-a33c-4349-9b4a-76a2f700ba7d/tasks,"DeviceApiV2DeviceController.getTaskList(String,Integer)","ch.belimo.cloud.server.deviceapi.v2.DeviceApiV2DeviceController#getTaskList(String, Integer)",111elm3x3ote5,http-nio-8080-exec-135,,2025-01-16 08:45:23.452
4,device,DeviceApiV2DeviceController,production,core-cloud,CCB:59f1ad10-a5a1-491f-a4df-8d6697819db4,,16,logsearch-lifeline-agent-stateful-0.logsearch-lifeline-agent-stateful.default.svc.cluster.local,200,production,GET,492e77b5-61db-45d8-aedd-598132a44471,16543fac22781f75a016e5f378ffc0f0,/device-api/v2/devices/492e77b5-61db-45d8-aedd-598132a44471/tasks,https://connect.g2bcc.com/device-api/v2/devices/492e77b5-61db-45d8-aedd-598132a44471/tasks,"DeviceApiV2DeviceController.getTaskList(String,Integer)","ch.belimo.cloud.server.deviceapi.v2.DeviceApiV2DeviceController#getTaskList(String, Integer)",111elm3x3ote5,http-nio-8080-exec-167,"sharedlogic/3.17.2-0 (bsp 10.5.0-0, model 3.46.386-0, bacnet 2.1.0)",2025-01-16 08:45:23.461
5,device,DeviceUpdateApiController,production,core-cloud,CCB:5f801874-6a4c-46dc-9fe8-e9e0173d6f12,,37,logsearch-lifeline-agent-stateful-0.logsearch-lifeline-agent-stateful.default.svc.cluster.local,200,production,POST,712df668-b506-46e2-83d7-aa36bad3bfe1,092a856bd931e3258eba888ed2152408,/device-api/update,https://connect.g2bcc.com/device-api/update,"DeviceUpdateApiController.postUpdateInquiry(UpdateInquiry,HttpServletRequest)","ch.belimo.cloud.server.deviceapi.base.DeviceUpdateApiController#postUpdateInquiry(UpdateInquiry, HttpServletRequest)",1aciv1okgkzbs,http-nio-8080-exec-128,"sharedlogic/2.15.10-0 (bsp 9.4.0-0, model 3.35.363-0)",2025-01-16 08:45:23.441
6,device,DeviceApiV2DeviceController,production,core-cloud,CCB:fe49b871-e0ea-4d0c-af73-f4fdb29bfdaf,,152,logsearch-lifeline-agent-stateful-0.logsearch-lifeline-agent-stateful.default.svc.cluster.local,200,production,GET,3164fbea-bb4f-4819-85dc-ca637272ae74,76d44336c32ffc4fcd439867c89f31f6,/device-api/v2/devices/3164fbea-bb4f-4819-85dc-ca637272ae74,https://mobile.g2bcc.com/device-api/v2/devices/3164fbea-bb4f-4819-85dc-ca637272ae74,DeviceApiV2DeviceController.getDeviceInfo(String),ch.belimo.cloud.server.deviceapi.v2.DeviceApiV2DeviceController#getDeviceInfo(String),2yt378c5zm7b,http-nio-8080-exec-16,okhttp/4.12.0,2025-01-16 08:45:23.204
7,device,DeviceApiV2DeviceController,production,core-cloud,CCB:2ff2a0f5-12f5-4682-8c4b-cac101a1c4fa,,34,logsearch-lifeline-agent-stateful-0.logsearch-lifeline-agent-stateful.default.svc.cluster.local,200,production,GET,cdefcdba-d291-4565-a53a-411de469eb36,430868f14f32e154790fb7c04093775e,/device-api/v2/devices/cdefcdba-d291-4565-a53a-411de469eb36/tasks,https://connect.g2bcc.com/device-api/v2/devices/cdefcdba-d291-4565-a53a-411de469eb36/tasks,"DeviceApiV2DeviceController.getTaskList(String,Integer)","ch.belimo.cloud.server.deviceapi.v2.DeviceApiV2DeviceController#getTaskList(String, Integer)",111elm3x3ote5,http-nio-8080-exec-55,"sharedlogic/3.17.2-0 (bsp 10.5.0-0, model 3.46.386-0, bacnet 2.1.0)",2025-01-16 08:45:23.455
8,device,DeviceApiV2DeviceController,production,core-cloud,CCB:ca8af9c0-f501-490c-a838-a04415d4ab26,,34,logsearch-lifeline-agent-stateful-0.logsearch-lifeline-agent-stateful.default.svc.cluster.local,200,production,GET,bd2f348b-f6d2-410b-9172-172a7963c725,8af737c41975135998f2257a903b4dca,/device-api/v2/devices/bd2f348b-f6d2-410b-9172-172a7963c725/tasks,https://connect.g2bcc.com/device-api/v2/devices/bd2f348b-f6d2-410b-9172-172a7963c725/tasks,"DeviceApiV2DeviceController.getTaskList(String,Integer)","ch.belimo.cloud.server.deviceapi.v2.DeviceApiV2DeviceController#getTaskList(String, Integer)",111elm3x3ote5,http-nio-8080-exec-25,"sharedlogic/4.21.1 (bsp 13.9.0, model 1.0.4, bootloader 2019.01.0, fieldbus 01.00.0016)",2025-01-16 08:45:23.457
9,device,DeviceApiV2DeviceController,production,core-cloud,CCB:2211630e-d403-4fc0-8e44-0139c0540d94,,22,logsearch-lifeline-agent-stateful-0.logsearch-lifeline-agent-stateful.default.svc.cluster.local,200,production,GET,bc00c60e-98f4-46f5-b053-07c1d5563229,f570396980a962e09dd18b251259cdd9,/device-api/v2/devices/83a03b88-a6e2-4cf8-a51c-657b44004f6e/tasks,https://connect.g2bcc.com/device-api/v2/devices/83a03b88-a6e2-4cf8-a51c-657b44004f6e/tasks,"DeviceApiV2DeviceController.getTaskList(String,Integer)","ch.belimo.cloud.server.deviceapi.v2.DeviceApiV2DeviceController#getTaskList(String, Integer)",111elm3x3ote5,http-nio-8080-exec-93,,2025-01-16 08:45:23.471
